,time,Matrix-Leaching
132,1989-10-11 00:00:00,0.0954089
133,1989-10-12 00:00:00,0.0944343
134,1989-10-13 00:00:00,0.0933899
135,1989-10-14 00:00:00,0.0922851
136,1989-10-15 00:00:00,0.0911516
137,1989-10-16 00:00:00,0.0900133
138,1989-10-17 00:00:00,0.08886
139,1989-10-18 00:00:00,0.0876847
140,1989-10-19 00:00:00,0.086532
141,1989-10-20 00:00:00,0.085453
142,1989-10-21 00:00:00,0.0844417
143,1989-10-22 00:00:00,0.0834966
144,1989-10-23 00:00:00,0.0827071
145,1989-10-24 00:00:00,0.0822168
146,1989-10-25 00:00:00,0.0821775
147,1989-10-26 00:00:00,0.0827144
148,1989-10-27 00:00:00,0.0839246
149,1989-10-28 00:00:00,0.0859172
150,1989-10-29 00:00:00,0.0888133
151,1989-10-30 00:00:00,0.0927732
152,1989-10-31 00:00:00,0.0981049
153,1989-11-01 00:00:00,0.105098
154,1989-11-02 00:00:00,0.113839
155,1989-11-03 00:00:00,0.124112
156,1989-11-04 00:00:00,0.13542
157,1989-11-05 00:00:00,0.147104
158,1989-11-06 00:00:00,0.158504
159,1989-11-07 00:00:00,0.169109
160,1989-11-08 00:00:00,0.178523
161,1989-11-09 00:00:00,0.186533
162,1989-11-10 00:00:00,0.193139
163,1989-11-11 00:00:00,0.198512
164,1989-11-12 00:00:00,0.202974
165,1989-11-13 00:00:00,0.206902
166,1989-11-14 00:00:00,0.210684
167,1989-11-15 00:00:00,0.214519
168,1989-11-16 00:00:00,0.218439
169,1989-11-17 00:00:00,0.222453
170,1989-11-18 00:00:00,0.226354
171,1989-11-19 00:00:00,0.229706
172,1989-11-20 00:00:00,0.232197
173,1989-11-21 00:00:00,0.233842
174,1989-11-22 00:00:00,0.234661
175,1989-11-23 00:00:00,0.234595
176,1989-11-24 00:00:00,0.233594
177,1989-11-25 00:00:00,0.231912
178,1989-11-26 00:00:00,0.22945
179,1989-11-27 00:00:00,0.226318
180,1989-11-28 00:00:00,0.222675
181,1989-11-29 00:00:00,0.218731
182,1989-11-30 00:00:00,0.214626
183,1989-12-01 00:00:00,0.210562
184,1989-12-02 00:00:00,0.206608
185,1989-12-03 00:00:00,0.202684
186,1989-12-04 00:00:00,0.198777
187,1989-12-05 00:00:00,0.194942
188,1989-12-06 00:00:00,0.191346
189,1989-12-07 00:00:00,0.188071
190,1989-12-08 00:00:00,0.185004
191,1989-12-09 00:00:00,0.182159
192,1989-12-10 00:00:00,0.179517
193,1989-12-11 00:00:00,0.177101
194,1989-12-12 00:00:00,0.174676
195,1989-12-13 00:00:00,0.172358
196,1989-12-14 00:00:00,0.170122
197,1989-12-15 00:00:00,0.168003
198,1989-12-16 00:00:00,0.165926
199,1989-12-17 00:00:00,0.163886
200,1989-12-18 00:00:00,0.161763
201,1989-12-19 00:00:00,0.159634
202,1989-12-20 00:00:00,0.157673
203,1989-12-21 00:00:00,0.156012
204,1989-12-22 00:00:00,0.154522
205,1989-12-23 00:00:00,0.153049
206,1989-12-24 00:00:00,0.151649
207,1989-12-25 00:00:00,0.150392
208,1989-12-26 00:00:00,0.149314
209,1989-12-27 00:00:00,0.148829
210,1989-12-28 00:00:00,0.149877
211,1989-12-29 00:00:00,0.153629
212,1989-12-30 00:00:00,0.161098
213,1989-12-31 00:00:00,0.172764
214,1990-01-01 00:00:00,0.188252
