,time,Matrix-Leaching
134,1989-05-15 00:00:00,0.0635401
135,1989-05-16 00:00:00,0.0637339
136,1989-05-17 00:00:00,0.0639251
137,1989-05-18 00:00:00,0.064113
138,1989-05-19 00:00:00,0.0642955
139,1989-05-20 00:00:00,0.0644742
140,1989-05-21 00:00:00,0.0646487
141,1989-05-22 00:00:00,0.0648185
142,1989-05-23 00:00:00,0.0649826
143,1989-05-24 00:00:00,0.0651417
144,1989-05-25 00:00:00,0.0652957
145,1989-05-26 00:00:00,0.0654439
146,1989-05-27 00:00:00,0.0655843
147,1989-05-28 00:00:00,0.065716
148,1989-05-29 00:00:00,0.0658416
149,1989-05-30 00:00:00,0.065961
150,1989-05-31 00:00:00,0.066075
151,1989-06-01 00:00:00,0.0661827
152,1989-06-02 00:00:00,0.0662827
153,1989-06-03 00:00:00,0.0663724
154,1989-06-04 00:00:00,0.0664501
155,1989-06-05 00:00:00,0.0665127
156,1989-06-06 00:00:00,0.066565
157,1989-06-07 00:00:00,0.0666001
158,1989-06-08 00:00:00,0.0666233
159,1989-06-09 00:00:00,0.0666358
160,1989-06-10 00:00:00,0.0666332
161,1989-06-11 00:00:00,0.0666178
162,1989-06-12 00:00:00,0.0665877
163,1989-06-13 00:00:00,0.0665442
164,1989-06-14 00:00:00,0.0664862
165,1989-06-15 00:00:00,0.066415
166,1989-06-16 00:00:00,0.0663318
167,1989-06-17 00:00:00,0.0662376
168,1989-06-18 00:00:00,0.0661353
169,1989-06-19 00:00:00,0.0660245
170,1989-06-20 00:00:00,0.0659043
171,1989-06-21 00:00:00,0.0657744
172,1989-06-22 00:00:00,0.0656359
173,1989-06-23 00:00:00,0.0654891
174,1989-06-24 00:00:00,0.0653351
175,1989-06-25 00:00:00,0.0651743
176,1989-06-26 00:00:00,0.0650066
177,1989-06-27 00:00:00,0.0648318
178,1989-06-28 00:00:00,0.0646482
179,1989-06-29 00:00:00,0.0644549
180,1989-06-30 00:00:00,0.0642514
181,1989-07-01 00:00:00,0.0640372
182,1989-07-02 00:00:00,0.0638131
183,1989-07-03 00:00:00,0.0635786
184,1989-07-04 00:00:00,0.0633326
185,1989-07-05 00:00:00,0.0630735
186,1989-07-06 00:00:00,0.0628014
187,1989-07-07 00:00:00,0.0625175
188,1989-07-08 00:00:00,0.0622235
189,1989-07-09 00:00:00,0.061921
190,1989-07-10 00:00:00,0.0616114
191,1989-07-11 00:00:00,0.0612969
192,1989-07-12 00:00:00,0.0609779
193,1989-07-13 00:00:00,0.0606555
194,1989-07-14 00:00:00,0.0603247
195,1989-07-15 00:00:00,0.0599955
196,1989-07-16 00:00:00,0.0596591
197,1989-07-17 00:00:00,0.0593138
198,1989-07-18 00:00:00,0.0589612
199,1989-07-19 00:00:00,0.058598
200,1989-07-20 00:00:00,0.0582257
201,1989-07-21 00:00:00,0.0578456
202,1989-07-22 00:00:00,0.0574572
203,1989-07-23 00:00:00,0.0570629
204,1989-07-24 00:00:00,0.0566629
205,1989-07-25 00:00:00,0.0562598
206,1989-07-26 00:00:00,0.0558544
207,1989-07-27 00:00:00,0.055448
208,1989-07-28 00:00:00,0.0550425
209,1989-07-29 00:00:00,0.0546355
210,1989-07-30 00:00:00,0.0542348
211,1989-07-31 00:00:00,0.0538361
212,1989-08-01 00:00:00,0.0534348
213,1989-08-02 00:00:00,0.0530373
214,1989-08-03 00:00:00,0.0526416
215,1989-08-04 00:00:00,0.0522454
216,1989-08-05 00:00:00,0.0518459
217,1989-08-06 00:00:00,0.0514446
218,1989-08-07 00:00:00,0.0510403
219,1989-08-08 00:00:00,0.050634
220,1989-08-09 00:00:00,0.0502216
221,1989-08-10 00:00:00,0.0498171
222,1989-08-11 00:00:00,0.049413
223,1989-08-12 00:00:00,0.0490078
224,1989-08-13 00:00:00,0.0486048
225,1989-08-14 00:00:00,0.0482046
226,1989-08-15 00:00:00,0.0478071
227,1989-08-16 00:00:00,0.0474131
228,1989-08-17 00:00:00,0.0470237
229,1989-08-18 00:00:00,0.0466387
230,1989-08-19 00:00:00,0.0462567
231,1989-08-20 00:00:00,0.0458791
232,1989-08-21 00:00:00,0.0455062
233,1989-08-22 00:00:00,0.045137
234,1989-08-23 00:00:00,0.0447716
235,1989-08-24 00:00:00,0.0444078
236,1989-08-25 00:00:00,0.0440476
237,1989-08-26 00:00:00,0.0436912
238,1989-08-27 00:00:00,0.043338
239,1989-08-28 00:00:00,0.0429871
240,1989-08-29 00:00:00,0.0426316
241,1989-08-30 00:00:00,0.0422813
242,1989-08-31 00:00:00,0.0419395
243,1989-09-01 00:00:00,0.0415976
244,1989-09-02 00:00:00,0.0412572
245,1989-09-03 00:00:00,0.04093
246,1989-09-04 00:00:00,0.0406462
247,1989-09-05 00:00:00,0.0404584
248,1989-09-06 00:00:00,0.0404378
249,1989-09-07 00:00:00,0.040662
250,1989-09-08 00:00:00,0.0411998
251,1989-09-09 00:00:00,0.0421008
252,1989-09-10 00:00:00,0.0433847
253,1989-09-11 00:00:00,0.0450454
254,1989-09-12 00:00:00,0.0470485
255,1989-09-13 00:00:00,0.0493371
256,1989-09-14 00:00:00,0.0518418
257,1989-09-15 00:00:00,0.0544823
258,1989-09-16 00:00:00,0.0571759
259,1989-09-17 00:00:00,0.0598444
260,1989-09-18 00:00:00,0.0624193
261,1989-09-19 00:00:00,0.0648445
262,1989-09-20 00:00:00,0.0670768
263,1989-09-21 00:00:00,0.0690872
264,1989-09-22 00:00:00,0.07086
265,1989-09-23 00:00:00,0.0723905
266,1989-09-24 00:00:00,0.0736818
267,1989-09-25 00:00:00,0.0747429
268,1989-09-26 00:00:00,0.0755865
269,1989-09-27 00:00:00,0.0762282
270,1989-09-28 00:00:00,0.0766852
271,1989-09-29 00:00:00,0.0769732
272,1989-09-30 00:00:00,0.0771084
273,1989-10-01 00:00:00,0.077105
274,1989-10-02 00:00:00,0.0769773
275,1989-10-03 00:00:00,0.0767387
276,1989-10-04 00:00:00,0.0764044
277,1989-10-05 00:00:00,0.0759864
278,1989-10-06 00:00:00,0.0754966
279,1989-10-07 00:00:00,0.0749464
280,1989-10-08 00:00:00,0.0743432
281,1989-10-09 00:00:00,0.0736984
282,1989-10-10 00:00:00,0.0730181
283,1989-10-11 00:00:00,0.0723094
284,1989-10-12 00:00:00,0.0715782
285,1989-10-13 00:00:00,0.0708318
286,1989-10-14 00:00:00,0.0700718
287,1989-10-15 00:00:00,0.0693039
288,1989-10-16 00:00:00,0.0685263
289,1989-10-17 00:00:00,0.06774
290,1989-10-18 00:00:00,0.0669811
291,1989-10-19 00:00:00,0.0662104
292,1989-10-20 00:00:00,0.0654465
293,1989-10-21 00:00:00,0.0646902
294,1989-10-22 00:00:00,0.0639445
295,1989-10-23 00:00:00,0.0632117
296,1989-10-24 00:00:00,0.0624922
297,1989-10-25 00:00:00,0.0617845
298,1989-10-26 00:00:00,0.0610896
299,1989-10-27 00:00:00,0.0604171
300,1989-10-28 00:00:00,0.059756
301,1989-10-29 00:00:00,0.0591086
302,1989-10-30 00:00:00,0.0584744
303,1989-10-31 00:00:00,0.0578523
304,1989-11-01 00:00:00,0.0572414
305,1989-11-02 00:00:00,0.0566413
306,1989-11-03 00:00:00,0.0560523
307,1989-11-04 00:00:00,0.0554746
308,1989-11-05 00:00:00,0.0549088
309,1989-11-06 00:00:00,0.0543576
310,1989-11-07 00:00:00,0.0538243
311,1989-11-08 00:00:00,0.0533147
312,1989-11-09 00:00:00,0.0528409
313,1989-11-10 00:00:00,0.0524143
314,1989-11-11 00:00:00,0.0520513
315,1989-11-12 00:00:00,0.0517697
316,1989-11-13 00:00:00,0.051587
317,1989-11-14 00:00:00,0.0515237
318,1989-11-15 00:00:00,0.0515999
319,1989-11-16 00:00:00,0.0518344
320,1989-11-17 00:00:00,0.0522435
321,1989-11-18 00:00:00,0.0528412
322,1989-11-19 00:00:00,0.0536398
323,1989-11-20 00:00:00,0.0546499
324,1989-11-21 00:00:00,0.0558808
